,average,average_rank,bet_ceiling,bet_female,bet_intercept,conf_diff_lin,conf_diff_quad,diff_ceiling,diff_floor,gross,gross_rank,model_id,num_fight_lin,num_fight_quad,prev_fight_ceiling,prev_fight_floor,standard_wager,tot_val_rank,total_rank,val_average,val_average_rank,val_gross,val_gross_rank
ddc481a3-f1f3-4ac9-a601-756a7ff75cb2,23.03146540039276,82.0,191,False,0.31796034859707384,0.0930299544694578,0.27628499658166467,0.1388189348723825,0.0016873253224252765,1059.447408418067,99.38,ddc481a3-f1f3-4ac9-a601-756a7ff75cb2,0.37491781192598567,0.1798704568224203,99,3,1,105.46218487394958,181.38,4.7648996093600955,50.84033613445378,219.1853820305644,54.621848739495796
f9e62a08-3bb5-4910-9559-3f77026d6b8b,23.011321558420466,81.98,190,False,0.24819742370570363,0.10915882035068593,0.29014968055708545,0.13973101924362386,0.0017213275094081907,1058.5207916873414,99.36,f9e62a08-3bb5-4910-9559-3f77026d6b8b,0.3332571855228048,0.18441776486967085,99,3,1,106.72268907563026,181.34,4.7979286206524066,51.42857142857143,220.7047165500107,55.294117647058826
d0c296bb-6b11-4f61-90e4-d998ae15b805,23.007977237836272,81.96,191,False,0.26727420265244844,0.10100116902328855,0.27145252699476263,0.1395707955697304,0.0018935351552780769,1058.3669529404685,99.34,d0c296bb-6b11-4f61-90e4-d998ae15b805,0.39062364177215814,0.17716690476352898,99,3,1,103.27731092436974,181.3,4.678167178248035,49.831932773109244,215.19569019940963,53.445378151260506
19c38121-5039-4442-aba5-0cd0356a6aec,23.003896533869806,81.94,188,False,0.2798791838050034,0.10919411849116803,0.3123558129735497,0.13948588660834876,0.0015774202170870616,1058.179240558011,99.32,19c38121-5039-4442-aba5-0cd0356a6aec,0.29778177854218374,0.18038527343223423,99,3,1,87.05882352941177,181.26,4.214959545496381,42.52100840336134,193.8881390928335,44.53781512605042
4f802681-56b3-4136-94dd-52c824512e5d,23.002313663401054,81.92,187,False,0.31191807713572045,0.10025103035529609,0.3488856080969882,0.13858285097233417,0.0019402774110181876,1058.1064285164484,99.3,4f802681-56b3-4136-94dd-52c824512e5d,0.28374536529904726,0.18826350617259235,99,3,1,77.05882352941177,181.22,4.023286943735378,37.81512605042017,185.07119941182742,39.2436974789916
654bd55a-4890-440c-abbd-45de396cc0e5,22.982720786224217,81.9,188,False,0.28297525876717733,0.10571786241564429,0.30911398415248,0.1398055827016376,0.0016600442145898483,1057.205156166314,99.28,654bd55a-4890-440c-abbd-45de396cc0e5,0.30742275907570826,0.179048475669149,99,3,1,85.37815126050421,181.18,4.194324132727125,41.680672268907564,192.93891010544777,43.69747899159664
c404f410-53a4-46fc-8f5b-faabafa3f2f4,22.972219452250002,81.88,189,False,0.2890387519756846,0.11146775259314289,0.29849391700152883,0.13906768460263136,0.0015327024755456026,1056.7220948035,99.26,c404f410-53a4-46fc-8f5b-faabafa3f2f4,0.3655833377189215,0.17555251363731783,99,3,1,85.21008403361344,181.14,4.191571255027925,41.596638655462186,192.81227773128455,43.61344537815126
351f0a83-00b3-4511-96f8-73f5d3a452b1,22.937633983960257,81.86,190,False,0.27610967273471715,0.12080018586812936,0.32429718360373827,0.13834550628582978,0.0015937203499186239,1055.1311632621719,99.22,351f0a83-00b3-4511-96f8-73f5d3a452b1,0.36676280919710563,0.19287337791143025,99,3,1,89.15966386554622,181.07999999999998,4.242375857610258,43.529411764705884,195.14928945007188,45.63025210084034
b7ea8f4a-92b4-4450-a849-ec4dbba5a8c0,22.9332713520136,81.84,189,False,0.28740816306489364,0.10073711071600928,0.302235444437559,0.1390913337105832,0.001512411189160535,1054.9304821926255,99.2,b7ea8f4a-92b4-4450-a849-ec4dbba5a8c0,0.3921368793048958,0.1757181657857599,99,3,1,86.55462184873949,181.04000000000002,4.212939422609408,42.26890756302521,193.79521344003277,44.285714285714285
7e5c5fc8-d153-4e9a-aa4a-e40f74368ddb,22.923941337320915,81.82,189,False,0.2771970765648242,0.11354962296536038,0.2879518965224318,0.13854735036593888,0.001382284312523116,1054.5013015167622,99.18,7e5c5fc8-d153-4e9a-aa4a-e40f74368ddb,0.375243263101476,0.1730570245820547,99,3,1,85.0420168067227,181.0,4.18870769805814,41.51260504201681,192.68055411067445,43.529411764705884
